minor_name,minor_reqs
Political Strategy (Minor),"Requirement 1 — Complete 1 of 2 Courses
POLI 110 - Amer Government & Politics 3.0
POLI 210 - Principles of Amer. Politics 3.0
Requirement 2 — Complete 9 hours
POLI 301 - Data Visualization 3.0
POLI 302 - Experimental Research Methods 3.0
POLI 304 - Game Theory in Pol Sci 3.0
POLI 305 - Survey Research Methods 3.0
POLI 311 - State & Local Govt & Politics 3.0
POLI 312 - American Judicial Politics 3.0
POLI 313 - Interest Groups 3.0
POLI 314 - U S Presidency 3.0
POLI 315 - Congress & Legislative Process 3.0
POLI 316 - American Political Parties 3.0
POLI 317 - Pub Opinion & Voting Behavior 3.0v
POLI 318 - Campaigns & Elections 3.0
POLI 319R - Topics in Amer Gov & Politics - You may take up to 6.0 credit hours 0.5v
POLI 321 - Media in American Politics 3.0
POLI 323 - Race, Ethnicity, and Gender 3.0
POLI 324 - Political Psychology 3.0
POLI 325 - Pol of Wilds, Parks, & Lands 3.0
POLI 331 - Politics and Public Policy 3.0
POLI 332 - Public Policy Analysis 3.0
POLI 333 - Politics of Bureaucracy 3.0
POLI 335 - Social Policy 3.0
POLI 339R - Topics in Public Policy - You may take once 1.0v
POLI 340 - Democracy and Autocracy 3.0
POLI 342 - Gender and Politics 3.0
POLI 384 - Internatl Relations of Europe 3.0
POLI 392R - Topics in Political Strategy - You may take once 1.0v
POLI 399R - Utah Legislature Internship - You may take once 0.5v
POLI 399R - Washington DC Internship - You may take once 0.5v
POLI 420 - Const Law-Am Federal System 3.0
POLI 421 - Const Law-Rights & Immunities 3.0
POLI 422 - Int & Ideas, Amer Founding 3.0
POLI 423 - Political Extremism 3.0
POLI 428 - Advanced Statistical Analysis 3.0
POLI 491R - Elections and Democracy Lab - You may take once 1.0
POLI 497R - Mentored Research - You may take once 1.0v
Requirement 3 — Complete 6 hours
ECON 110 - Econ Principles & Problems 3.0
ECON 477 - Political Economics 3.0
FHSS 351 - Civil Rights Seminar 3.0
POLI 301 - Data Visualization 3.0
POLI 302 - Experimental Research Methods 3.0
POLI 304 - Game Theory in Pol Sci 3.0
POLI 305 - Survey Research Methods 3.0
POLI 311 - State & Local Govt & Politics 3.0
POLI 312 - American Judicial Politics 3.0
POLI 313 - Interest Groups 3.0
POLI 314 - U S Presidency 3.0
POLI 315 - Congress & Legislative Process 3.0
POLI 316 - American Political Parties 3.0
POLI 317 - Pub Opinion & Voting Behavior 3.0v
POLI 318 - Campaigns & Elections 3.0
POLI 319R - Topics in Amer Gov & Politics - You may take up to 6.0 credit hours 0.5v
POLI 321 - Media in American Politics 3.0
POLI 322 - Urban and Local Politics 3.0
POLI 323 - Race, Ethnicity, and Gender 3.0
POLI 324 - Political Psychology 3.0
POLI 325 - Pol of Wilds, Parks, & Lands 3.0
POLI 331 - Politics and Public Policy 3.0
POLI 332 - Public Policy Analysis 3.0
POLI 333 - Politics of Bureaucracy 3.0
POLI 335 - Social Policy 3.0
POLI 339R - Topics in Public Policy - You may take once 1.0v
POLI 340 - Democracy and Autocracy 3.0
POLI 342 - Gender and Politics 3.0
POLI 384 - Internatl Relations of Europe 3.0
POLI 392R - Topics in Political Strategy - You may take once 1.0v
POLI 399R - Utah Legislature Internship - You may take once 0.5v
POLI 420 - Const Law-Am Federal System 3.0
POLI 421 - Const Law-Rights & Immunities 3.0
POLI 422 - Int & Ideas, Amer Founding 3.0
POLI 423 - Political Extremism 3.0
POLI 428 - Advanced Statistical Analysis 3.0
POLI 491R - Elections and Democracy Lab - You may take once 1.0
POLI 497R - Mentored Research - You may take once 1.0v
SOC 323 - Sociology of Race & Ethnicity 3.0
Internships and mentored research must be related to political strategy to count for the Political Strategy minor.
Students are strongly encouraged to take one of the following methods courses: POLI 301, 302, 304, 305, 428.
Students may count up to 6 credit hours of POLI 399R (internship credit) in the minor.
Students are strongly encouraged to complete internships, work on political campaigns, and gain other practical political experience."
Portuguese (Minor),"Requirement 1 — Complete 2 Courses
PORT 321 - 3rd-Yr Port Read, Gram, & Cult 3.0
PORT 330 - Intro to Port & Brazilian Lit 3.0
Requirement 2 — Complete 1 of 4 Courses
PORT 345 - Cultures of Portugal 3.0
PORT 355 - Cultures of Brazil 3.0
PORT 447R - Spec Topics in Culture of Port - You may take once 3.0
PORT 457R - Spec Topics Cultures Brazil - You may take once 3.0
Requirement 3 — Complete 1 of 2 Courses
PORT 341 - Survey of Lit of Portugal 3.0
PORT 351 - Survey of Lit of Brazil 3.0
Requirement 4 — Complete 6 hours
Complete 6 additional hours from the following electives. Courses used to fulfill the above requirements may not be double-counted.
Option 4.1 — Complete up to 6 hours
PORT 321 - 3rd-Yr Port Read, Gram, & Cult 3.0
PORT 322 - 3rd Yr Grammar & Composition 3.0
PORT 325 - Survey Luzo-Brazilian Ling 3.0
PORT 326 - Phonetics & Pronunciation 2.0
PORT 330 - Intro to Port & Brazilian Lit 3.0
PORT 341 - Survey of Lit of Portugal 3.0
PORT 345 - Cultures of Portugal 3.0
PORT 351 - Survey of Lit of Brazil 3.0
PORT 355 - Cultures of Brazil 3.0
PORT 360 - Intro to Translation 3.0
PORT 377 - Methods of Portuguese Teaching 3.0
PORT 395R - Contemporary Culture - You may take once 0.5v
PORT 429R - Spec Topics Port Linguistics - You may take once 3.0
PORT 431R - African Portuguese Lit - You may take once 3.0
PORT 437R - Women Writers in Portuguese - You may take once 3.0
PORT 438 - Luso-Brazilian Cinema 3.0
PORT 439R - Luso-Braz Theat Pr - You may take once 3.0
PORT 442 - Camoes 3.0
PORT 447R - Spec Topics in Culture of Port - You may take once 3.0
PORT 449R - Special Topics in Port Lit - You may take once 3.0
PORT 452 - Machado de Assis 3.0
PORT 453 - 20th-Century Brazilian Lit 3.0
PORT 457R - Spec Topics Cultures Brazil - You may take once 3.0
PORT 459R - Special Topics in Brazil Lit - You may take once 3.0
PORT 477R - Sec Minor Student Teaching - You may take once 4.0
PORT 480R - Directed Research - You may take once 0.5v
PORT 493 - Capstone Course in Portuguese 1.0
PORT 520 - Adv Portuguese Grammar 3.0
PORT 521 - Romance Philology 3.0
PORT 522 - Hist of Portuguese Lang 3.0
PORT 529R - Special Topics in Port Ling - You may take once 3.0
Option 4.2 — Complete up to 3 hours
PORT 323A - Portuguese Medical Professions 3.0
PORT 323B - Portuguese Business Profession 3.0
Option 4.3 — Complete up to 3 hours
PORT 399R - Academic Internship - You may take up to 3.0 credit hours 0.5v
Requirement 5 — Complete 1 Course
PORT 491 - Senior Proficiency Evaluation 0.5
Note: Course involves taking proficiency tests in speaking, writing, reading, and listening. Students who have previously taken one or more of these tests must still in enroll in the class to complete the remaining tests. No particular passing score is required, although it is hoped that students reach Advanced Low or better."
Portuguese Teaching (Minor),"Licensure: This program meets the educational requirements designed to lead to an occupationally required professional license or certificate in the state of Utah. Students pursuing occupations requiring a license or certificate in a state other than Utah should contact the appropriate BYU academic advisement center as well as the licensing agency in the state where they intend to work to seek information and guidance regarding licensure and certification requirements.
This minor is designed to prepare students to teach in public schools. A teaching minor may only be received by students graduating with a teaching major. In order to graduate with this minor, students are required to complete Utah State Office of Education licensing requirements. To view these requirements go to https://www.schools.utah.gov/curr/licensing or contact the Education Advisement Center, 350 MCKB, 801-422-3426.
For students accepted into the major after December 16, 2019, grades below C in any required coursework in a teaching major or teaching minor will not be accepted. Teacher candidates must maintain a cumulative GPA of 2.7 or higher once admitted into the program and to qualify for student teaching. For additional details on admission and retention requirements for teaching majors and teaching minors, see Educator Preparation Program Requirements in the Undergraduate Catalog.
Requirement 1 — Complete 1 Course
PORT 377 - Methods of Portuguese Teaching 3.0
Requirement 2 — Complete 3 Courses
PORT 321 - 3rd-Yr Port Read, Gram, & Cult 3.0
PORT 322 - 3rd Yr Grammar & Composition 3.0
PORT 330 - Intro to Port & Brazilian Lit 3.0
Requirement 3 — Complete 1 of 2 Courses
PORT 325 - Survey Luzo-Brazilian Ling 3.0
PORT 326 - Phonetics & Pronunciation 3.0
Requirement 4 — Complete 1 of 2 Courses
PORT 345 - Cultures of Portugal 3.0
PORT 355 - Cultures of Brazil 3.0
Requirement 5 — Complete 1 of 2 Courses
PORT 341 - Survey of Lit of Portugal 3.0
PORT 351 - Survey of Lit of Brazil 3.0
Requirement 6 — Complete 1 Course
PORT 491 - Senior Proficiency Evaluation 0.5
Note 1: An ACTFL Oral Proficiency Interview (OPI) and Writing Proficiency Test are taken in connection with Port 491. Before applying to student teach, students must achieve a minimum OPI rating of Advanced Low to obtain Utah state licensure and to graduate.
Note 2: To qualify for Utah licensure, students must also pass the BYU Foreign Language Achievement Service (FLATS) test in Portuguese with a score of 85% or higher prior to student teaching. Contact the department for more information.
Requirement 7 — Complete 1 Course
PORT 477R - Sec Minor Student Teaching - You may take once 4.0"
Professional Writing and Communication (Minor),"Requirement 1 — Complete 3 Courses
ENGL 302 - Writing with Style 3.0
ENGL 322 - Rhetorical Foundations 3.0
ENGL 494- Prof Wrtg and Comm Sr Capstone 3.0
Requirement 2 — Complete 9 hours
Note: ENGL 394R and 399R must be a rhetoric- or writing-related topic.
ENGL 211 - Rhetoric & Civilization 1 3.0
ENGL 212 - Rhetoric & Civilization 2 3.0
ENGL 323 - Professional Writing 3.0
ENGL 325 - Visual Communication 3.0
ENGL 326 - Digital Communication 3.0
ENGL 327R - Studies in Rhetoric 3.0
ENGL 328R - Studies in Composing 3.0
ENGL 335 - Professional Speaking 3.0
ENGL 394R - Applied English 3.0
ENGL 399R - Academic Internship - You may take once 0.5v"
Psychology (Minor),"Requirement 1 — Complete 2 Courses
PSYCH 111 - Psychological Science 3.0
PSYCH 308 - Psychological Statistics 4.0
Requirement 2 — Complete 12 hours
Complete 12 elective hours from remaining undergraduate and 500-level courses; 9 hours must be 300-level or above. No more than 6 hours of Independent Study credit may count toward the minor. Students may enroll in 500-level courses with instructor's consent.
Option 2.1 — Complete at least 9 hours up to 12 hours
PSYCH 305 - Multicultural Psychology 3.0
PSYCH 306 - Psychology of Gender 3.0
PSYCH 307 - Writing Within Psychology 3.0
PSYCH 309 - Psychometrics 3.0
PSYCH 310 - Research Design & Analysis 3.0
PSYCH 311 - Critical Issues in Psychology 3.0
PSYCH 312R - Advanced Methods - You may take once 3.0
PSYCH 320 - Developmental Psych: Childhood 3.0
PSYCH 321 - Develpmntl Psych: Adolescence 3.0
PSYCH 322 - Developmental Psych: Adulthood 3.0
PSYCH 330 - Organizational Psychology 3.0
PSYCH 338 - Sport Psychology 3.0
PSYCH 341 - Personality 3.0
PSYCH 342 - Abnormal Psychology 3.0
PSYCH 343 - Child Psychopathology 3.0
PSYCH 345 - Basic Mediation 3.0
PSYCH 348 - Clinical Psychology 3.0
PSYCH 349 - Intro to Positive Psychology 3.0
PSYCH 352 - Applied Social Psychology 3.0
PSYCH 353 - Latter-day Saint Perspectives 3.0
PSYCH 354 - Psychology of Religion 3.0
PSYCH 356 - Intro to Health Psychology 3.0
PSYCH 358 - Leadership Development 3.0
PSYCH 361 - Principles of Learning 3.0
PSYCH 365 - Motivation 3.0
PSYCH 370 - Sensation and Perception 3.0
PSYCH 375 - Cognition 0.0
PSYCH 377 - Cognitive Neurosci of Memory 3.0
PSYCH 381 - Behavioral Neurobiology 3.0
PSYCH 382 - Stress Psychobiology 3.0
PSYCH 387 - Intro to Primate Behavior 3.0
PSYCH 388 - Drugs, Reward and Addiction 3.0
PSYCH 390R - Special Topics in Psychology - You may take once 3.0
PSYCH 399R - Academic Internship - You may take once 0.5v
PSYCH 410R - Senior Practicum: Tchg of Psy - You may take once 3.0
PSYCH 420R - Senior Practicum: Projects 3.0
PSYCH 430R - Senior Practicum: Research 3.0
PSYCH 492R - Superv Instrctnl/Resrch Exper - You may take once 0.5v
PSYCH 495R - Independent Readings - You may take once 0.5v
PSYCH 496R - Academic Internship, Capstone - You may take once 0.5v
PSYCH 499R - Independent Research - You may take once 0.5v
PSYCH 501 - Data Analysis in Psych Rsrch 1 4.0
PSYCH 502 - Data Analysis in Psych Rsrch 2 4.0
PSYCH 503 - Research Measurement 3.0
PSYCH 504 - Research Design 3.0
PSYCH 505 - Clinical Research 3.0
PSYCH 510 - History & Systems of Psych 3.0
PSYCH 511 - Philosophy of Science 3.0
PSYCH 512 - Qualitative Research Methods 3.0
PSYCH 513R - Topics in Beh Neuroscience - You may take once 3.0
PSYCH 514 - Computational Neuroimaging 1.0
PSYCH 515 - Neuroimaging Analysis 1 3.0
PSYCH 516 - Neuroimaging Analysis 2 3.0
PSYCH 517 - Neuroimaging Analysis 3: fMRI 3.0
PSYCH 520 - Adv Developmental Psych 3.0
PSYCH 531 - Org Psych 3.0
PSYCH 540 - Personality Theory 3.0
PSYCH 550 - Theory & Research in Soc Psy 3.0
PSYCH 552 - Applied Social Psychology 3.0
PSYCH 555 - Group Dynamics 3.0
PSYCH 560 - Learning Theory 3.0
PSYCH 565 - Motivational Psychology 3.0
PSYCH 575 - Cognitive&Affective Processes 3.0
PSYCH 578R - Sem in Mathematical Psychology - You may take once 3.0
PSYCH 583 - Health Psychology 3.0
PSYCH 584 - Cognition & Brain Function 3.0
PSYCH 585 - Neuro/Biol Bases of Behavior 3.0
PSYCH 586 - Horm Behav 3.0
PSYCH 587 - Sensory & Perceptual Processes 3.0
SOC 350 - Intro to Social Psychology 3.0
Option 2.2 — Complete up to 3 hours
PSYCH 101 - Orientation to Psych Major 1.0
PSYCH 140 - TA Training 1.0
PSYCH 200 - Applying to Graduate School 1.0
PSYCH 210 - History of Psychology 3.0
PSYCH 212R - Special Topics in Psychology - You may take once 0.5v
PSYCH 220 - Human Dev: Life Span 3.0"
Russian (Minor),"Requirement 1 — Complete 4 Courses
Prerequisite courses (may be waived with sufficient proficiency in the language):
RUSS 101 - 1st Yr Russ Part 1 5.0
RUSS 102 - 1st Yr Russ Part 2 5.0
RUSS 201 - 2nd-Yr Russian, Part 1 5.0
RUSS 202 - 2nd Year Russian Part 2 5.0
Requirement 2 — Complete 1 Requirement
Complete the following with the BYU Russia Study Abroad program or an approved equivalent program:
Requirement 2.1 — Complete 4 Courses
RUSS 211 - 2nd Yr Conversation 0.5v
RUSS 301 - Intrmed Russian Study Abroad 2.0
RUSS 330 - Cultural History of Russia 3.0
RUSS 490R - Special Studies in Russian - You may take once 0.5v
Note: This minor is designed only for students of Russian who have had no missionary-level residency experience in Russia."
Russian Teaching (Minor),"Licensure: This program meets the educational requirements designed to lead to an occupationally required professional license or certificate in the state of Utah. Students pursuing occupations requiring a license or certificate in a state other than Utah should contact the appropriate BYU academic advisement center as well as the licensing agency in the state where they intend to work to seek information and guidance regarding licensure and certification requirements.
This minor is designed to prepare students to teach in public schools. A teaching minor may only be received by students graduating with a teaching major. In order to graduate with this minor, students are required to complete Utah State Office of Education licensing requirements. To view these requirements go to https://www.schools.utah.gov/curr/licensing or contact the Education Advisement Center, 350 MCKB, 801-422-3426.
- Note: Before declaring a Russian teaching minor, candidates must consult with the section leader.
- Register with the secretary in the department office.
For students accepted into the major after December 16, 2019, grades below C in any required coursework in a teaching major or teaching minor will not be accepted. Teacher candidates must maintain a cumulative GPA of 2.7 or higher once admitted into the program and to qualify for student teaching. For additional details on admission and retention requirements for teaching majors and teaching minors, see Educator Preparation Program Requirements in the Undergraduate Catalog.
Requirement 1 — Complete 3 Courses
Prerequisite courses (may be waived for students with sufficient proficiency in the language):
RUSS 101 - 1st Yr Russ Part 1 5.0
RUSS 102 - 1st Yr Russ Part 2 5.0
RUSS 201 - 2nd-Yr Russian, Part 1 5.0
Requirement 2 — Complete 2 Requirements
Important notes for returned Russian-speaking missionaries:
- Register for 3rd-year Russian courses. Russ 330 is recommended.
- Russ 202 will be waived as a requirement for Russian majors or minors and should not be taken except when remedial work is necessary and permission is obtained from the section leader.
- Credit for Russ 101, 102, 201, and 211 is available through a test given as part of Russ 330.
- If Russ 202 was waived, take Russ 441 or 442.
Requirement 2.2 — Complete 1 of 2 Options
Option 2.2.1 — Complete 1 Course
RUSS 202 - 2nd Year Russian Part 2 5.0
Option 2.2.2 — Complete 1 Course
RUSS 441 - Russian Literature 1 3.0
RUSS 442 - Russian Literature 2 3.0
Requirement 3 — Complete 1 Course
RUSS 321 - 3rd Yr Russian, Part 1 3.0
RUSS 322 - 3rd Yr Russian, Part 2 3.0
Requirement 4 — Complete 4 Courses
Note: Russian Teaching minors should complete Germ 377 and Germ 378 or another 377/378 foreign language methodology sequence with prior approval from the section head. Courses must be taken prior to student teaching.
GERM 377 - Methods in Teaching German 3.0
GERM 378 - Practicum in Teaching German 1.0
RUSS 330 - Cultural History of Russia 3.0
RUSS 340 - Russian Novel in English 3.0
Before applying to student teach in the major, complete the Oral Proficiency Interview (OPI) examination with a minimum level of Advanced-Low in order to be granted Utah state licensure.
Requirement 5 — Complete 1 Course
RUSS 477R - Sec Minor Student Teaching - You may take once 4.0"
Scandinavian Studies (Minor),"Courses do not double count between the different requirement sections within the minor.
Students cannot take both SCAND 429 and ICLND 429
Requirement 1 — Complete 3 Courses
SCAND 220 - Intro to Scandinavian Studies 3.0
SCAND 320 - Cultural Hist of Scandinavia 3.0
SCAND 495 - Capstone Scandinavian Studies 1.0
Requirement 2 — Complete 1 of 2 Options
Option 2.1 — Complete 3 Requirements
Scandinavian Language Track
Requirement 2.1.1 — Complete 3 hours
DANSH 330 - Advanced Danish 3.0
FINN 330 - Third Year Finnish 3.0
ICLND 202 - 2nd Year Icelandic 4.0
NORWE 330 - Advanced Norwegian 3.0
SWED 330 - Advanced Swedish 3.0
Requirement 2.1.2 — Complete 3 hours
DANSH 340 - Danish Literature 3.0
FINN 340 - Finnish Literature 3.0
ICLND 429 - Old Icelandic Lang &Literature 3.0
NORWE 340 - Norwegian Literature 3.0
SWED 340 - Swedish Literature 3.0
Requirement 2.1.3 — Complete 3 hours
HIST 285 - Scandinavian Family History 3.0
HIST 332 - Scandinavian Hist 3.0
HIST 352 - Scand Languages Paleography 3.0
IAS 301R - KC Lecture Series - You may take 2 times 1.0
IAS 302R - International Studies Seminar - You may take 2 times 1.0v
IAS 399R - Academic Internship - You may take up to 3.0 credit hours 0.5v
ICLND 429 - Old Icelandic Lang &Literature 3.0
SCAND 217 - German & Scandinavian Cinema 3.0
SCAND 325R - Scandinavian Choir - You may take 3 times 1.0
SCAND 332 - Cultural Hist. of the Vikings 3.0
SCAND 337 - Works of H C Andersen 3.0
SCAND 344R - Topics in Scandinavian Studies - You may take once 3.0
SCAND 399R - Academic Internship - You may take up to 3.0 credit hours 0.5v
SCAND 429 - Old Norse 3.0
SCAND 490R - Sem in Scandinavian Studies - You may take 2 times 0.5v
SCAND 491R - Directed Readings in Scand - You may take once 0.5v
Option 2.2 — Complete 9 hours
Scandinavian Culture Track (No Language Required)
HIST 285 - Scandinavian Family History 3.0
HIST 332 - Scandinavian Hist 3.0
HIST 352 - Scand Languages Paleography 3.0
IAS 301R - KC Lecture Series - You may take 2 times 1.0
IAS 302R - International Studies Seminar - You may take 2 times 1.0v
IAS 399R - Academic Internship - You may take up to 3.0 credit hours 0.5v
ICLND 429 - Old Icelandic Lang &Literature 3.0
SCAND 217 - German & Scandinavian Cinema 3.0
SCAND 325R - Scandinavian Choir - You may take 3 times 1.0
SCAND 332 - Cultural Hist. of the Vikings 3.0
SCAND 337 - Works of H C Andersen 3.0
SCAND 344R - Topics in Scandinavian Studies - You may take once 3.0
SCAND 399R - Academic Internship - You may take up to 3.0 credit hours 0.5v
SCAND 429 - Old Norse 3.0
SCAND 490R - Sem in Scandinavian Studies - You may take 2 times 0.5v
SCAND 491R - Directed Readings in Scand - You may take once 0.5v"
School Health Education (Minor),"Licensure: This program meets the educational requirements designed to lead to an occupationally required professional license or certificate in the state of Utah. Students pursuing occupations requiring a license or certificate in a state other than Utah should contact the appropriate BYU academic advisement center as well as the licensing agency in the state where they intend to work to seek information and guidance regarding licensure and certification requirements.
This minor is designed to prepare students to teach in public schools. A teaching minor may only be received by students graduating with a teaching major. In order to graduate with this minor, students are required to complete Utah State Office of Education licensing requirements. To view these requirements go to https://www.schools.utah.gov/curr/licensing or contact the Education Advisement Center, 350 MCKB, 801-422-3426.
For students accepted into the major after December 16, 2019, grades below C in any required coursework in a teaching major or teaching minor will not be accepted. Teacher candidates must maintain a cumulative GPA of 2.7 or higher once admitted into the program and to qualify for student teaching. For additional details on admission and retention requirements for teaching majors and teaching minors, see Educator Preparation Program Requirements in the Undergraduate Catalog.
Requirement 1 — Complete 7 Courses
HLTH 314 - Hlth, Disease & Determinants 1 3.0
HLTH 381 - Methods & Curriculum A 3.0
HLTH 382 - Methods & Curriculum B 3.0
HLTH 383 - Mind/Body Health 3.0
HLTH 436 - Sexual and Reproductive Health 3.0
HLTH 460 - Substance Use Disorders 3.0
NDFS 100 - Essentials of Human Nutrition 3.0
Requirement 2 — Complete 1 Course
HLTH 477R - Sec Minor Student Teaching - You may take once 4.0
Be certified in CPR. Students desiring to take a traditional first aid course including CPR training may enroll in Hlth 320."
Sociology (Minor),"Requirement 1 —Complete 1 of 3 Courses
SOC 111 - Introductory Sociology 3.0
SOC 112 - Current Social Problems 3.0
SOC 113 - Multicultural America 3.0
Requirement 2 — Complete 1 of 4 Courses
Social diversity and inequality courses:
SOC 222 - Intro Global Women's Studies 3.0
SOC 322 - Class Inequality 3.0
SOC 323 - Sociology of Race & Ethnicity 3.0
SOC 367 - Soc of Gender 3.0
Requirement 3 — Complete 9 hours
(No double counting within the minor is allowed). Note: Students interested in a sociology minor that emphasizes the research and analysis component of the major may select among the following courses as electives: Soc 300, 307, 404, or 405. Students are cautioned that Soc 404 and 405 have several prerequisites, which will require additional courses beyond the 15 hour minimum for a minor. Soc 307 is currently open only to majors; students interested in the sociology minor may add the course with the instructor's consent.
NURS 333 - End-of-Life Care 3.0
SOC 222 - Intro Global Women's Studies 3.0
SOC 300 - Methods of Research in Soc 3.0
SOC 301 - Applied Social Rsrch Methods 3.0
SOC 302 - Evaluation Research 3.0
SOC 307 - Data Analysis & Presentation 3.0
SOC 310 - Social Inquiry 3.0
SOC 311 - Contemporary Soc Theory 3.0
SOC 318 - Adol Dev Fam & Soc 3.0
SOC 321 - Sociology of Innovation 3.0
SOC 322 - Class Inequality 3.0
SOC 323 - Sociology of Race & Ethnicity 3.0
SOC 325 - Intro to Sociology of Religion 3.0
SOC 326 - Sociology of Education 3.0
SOC 327 - Soc of LDS Church & People 3.0
SOC 328 - Sociology of Sport 3.0
SOC 329 - Medical Sociology 3.0
SOC 330 - Cultural Sociology 3.0
SOC 339 - Social Orgnztn & Change 3.0
SOC 340 - Soc of International Develpmnt 3.0
SOC 345 - World Populations 3.0
SOC 350 - Intro to Social Psychology 3.0
SOC 360 - Intro to Family Sociology 3.0
SOC 361 - Theoretical Foundations Family 3.0
SOC 365 - Sociology of Aging 2.0
SOC 367 - Soc of Gender 3.0
SOC 370 - Urban Sociology 3.0
SOC 380 - Deviance & Social Control 3.0
SOC 383 - Juvenile Delinquency 3.0
SOC 390R - Special Topics - You may take once 0.5v
SOC 399R - Academic Internship - You may take once 0.5v
SOC 404 - Qualitative Research Methods 3.0
SOC 405 - Regression Analysis 3.0
SOC 420 - Understanding Modern Societies 3.0
SOC 421 - Sociology of Organizations 3.0
SOC 422 - Inequality & Society 3.0
SOC 423 - Sociology of Immigration 3.0
SOC 424 - Political Sociology 3.0
SOC 425 - Markets & Society 3.0
SOC 426 - Sociology of Work & Occupation 3.0
SOC 450 - The Family & Social Change 3.0
SOC 455R - Senior Capstone Part 1 - You may take once 3.0
SOC 456R - Senior Capstone Part 2 - You may take once 3.0
SOC 460 - Issues in Family Sociology 3.0
SOC 481 - Crime, Justice, & Corrections 3.0
SOC 490R - Special Topics in Sociology - You may take once 1.0v
SOC 495R - Directed Reading in Sociology - You may take once 1.0v
SOC 497R - Directed Research in Sociology - You may take once 1.0v
SOC 524 - Political Sociology 3.0
SOC 525 - Sociology of Religion 2.0
SOC 527 - LDS Church & People 3.0
SOC 528 - Sociology of Rural Communities 3.0
SOC 565 - Individual & Fam in Later Yr 3.0
SOC 590R - Special Topics - You may take once 0.5v
SOC 595R - Directed Readings - You may take once 0.5v
SOC 598R - Pro-Seminar - You may take once 1.0"
Spanish (Minor),"Requirement 1 — Complete 2 Courses
SPAN 321 - 3rd-Yr Span Read, Gram, & Cult 3.0
SPAN 330 - Intro to Hispanic Literature 3.0
Requirement 2 — Complete 1 Course
SPAN 345 - Cultures of Spain 3.0
SPAN 355 - Cultures of Spanish America 3.0
SPAN 447R - Spec Topics Culture of Spain - You may take once 3.0
SPAN 457R - Spec Topics Culture Span Amer - You may take once 3.0
Requirement 3 — Complete 1 Course
SPAN 341 - Survey of Lit of Spain 3.0
SPAN 351 - Survey of Lit of Span America 3.0
Requirement 4 — Complete 6 hours
Option 4.1 — Complete at least 3 hours up to 6 hours
Note: Courses used to satisfy the above requirements will not double count.
SPAN 322 - 3rd-Yr Spanish Composition 3.0
SPAN 325 - Survey of Hispanic Linguistics
SPAN 326 - Span Phonetics & Pronunciation 3.0
SPAN 341 - Survey of Lit of Spain 3.0
SPAN 345 - Cultures of Spain 3.0
SPAN 351 - Survey of Lit of Span America 3.0
SPAN 355 - Cultures of Spanish America 3.0
SPAN 360 - Intro to Translation 3.0
SPAN 376 - Techniques of Span Instruction 3.0
SPAN 395R - Contemporary Culture - You may take once 0.5v
SPAN 399R - Academic Internship - You may take up to 3.0 credit hours 0.5v
SPAN 411 - Conversation Superior Level 3.0
SPAN 421 - 4th Yr Grammar 3.0
SPAN 423 - Border Spanish 3.0
SPAN 425 - Span & Engl Struct 3.0
SPAN 429R - Spec Top Span Ling - You may take once 3.0
SPAN 437R - Women Writers in Spanish - You may take once 3.0
SPAN 438 - Hispanic Cinema 3.0
SPAN 439R - Hisp Theatre Prod - You may take once 3.0
SPAN 440 - Medieval Span Lit 3.0
SPAN 443R - Golden Age Lit - You may take 2 times 3.0
SPAN 444 - Don Quijote 3.0
SPAN 446R - 19th Century Lit - You may take 2 times 3.0
SPAN 447R - Spec Topics Culture of Spain - You may take once 3.0
SPAN 448R - 20th Century Lit - You may take 2 times 3.0
SPAN 449R - Special Topics in Span Lit - You may take 2 times 3.0
SPAN 450R - Early Spanish-American Lit - You may take 2 times 3.0
SPAN 452- U.S. Latinx Literature 3.0
SPAN 454R - The Spanish-American Novel - You may take 2 times 3.0
SPAN 455R - Spanish-American Poetry - You may take 2 times 3.0
SPAN 456R - Spanish-American Drama - You may take 2 times 3.0
SPAN 457R - Spec Topics Culture Span Amer - You may take once 3.0
SPAN 458R - Hispanic-American Short Story - You may take 2 times 3.0
SPAN 459R - Spec Topics in Span-Am Lit - You may take 2 times 3.0
SPAN 465 - Span Medical Interpretation 3.0
SPAN 480R - Directed Research - You may take once 0.5v
SPAN 520 - Problems in Spanish Grammar 3.0
SPAN 521 - Romance Philology 3.0
SPAN 522 - History of Spanish Language 3.0
SPAN 529R - Spec Topics Span Linguistics - You may take once 3.0
Option 4.2 — Complete up to 3 hours
SPAN 323A - Spanish Medical Professions 3.0
SPAN 323B - Spanish Business Professions 3.0
SPAN 323C - Spanish Legal Professions 3.0
Requirement 5 — Complete 1 Course
SPAN 491 - Senior Proficiency Evaluation 0.5
Note: Course involves taking proficiency tests in speaking, writing, reading, and listening. Students who have previously taken one or more of these tests must still in enroll in the class to complete the remaining tests. No particular passing score is required, although it is hoped that students reach Advanced Low or better."
